word,language_id
ultrices,79
molestie,26
proin,54
consequat,33
justo,60
id,68
eu,63
diam,76
vel,2
donec,89
morbi,31
quisque,12
elit,41
etiam,36
amet,24
ac,94
adipiscing,83
porttitor,46
nunc,34
interdum,26
suspendisse,32
etiam,22
nunc,90
ut,2
commodo,56
nulla,93
pellentesque,54
nunc,26
ipsum,89
suspendisse,89
libero,75
venenatis,78
orci,70
blandit,5
nisl,48
tortor,78
ac,62
ut,53
vestibulum,15
primis,68
nunc,40
ligula,62
faucibus,12
sollicitudin,4
nunc,60
dui,54
cursus,24
pede,46
ac,79
dis,61
pede,40
vel,26
non,52
amet,10
ultrices,20
quam,86
interdum,100
lobortis,98
consequat,47
venenatis,45
erat,3
leo,2
nulla,43
eu,40
mi,55
primis,97
porttitor,86
rutrum,70
libero,33
metus,6
potenti,78
sapien,81
integer,45
lectus,16
semper,96
vehicula,68
pellentesque,29
mauris,99
amet,20
dictumst,14
eget,61
augue,54
tincidunt,62
dui,65
sed,85
vitae,4
mauris,27
dictumst,73
nisl,20
vel,75
congue,66
sapien,64
felis,47
fringilla,44
donec,58
convallis,10
sit,91
et,23
varius,46
ac,4
eu,46
ut,79
a,71
in,3
lobortis,31
mattis,52
consequat,53
nam,68
in,70
fermentum,25
in,20
id,53
non,61
a,46
proin,31
libero,76
porttitor,99
diam,74
tempus,16
elit,15
turpis,9
nam,35
amet,3
orci,49
vel,47
tortor,31
amet,62
nec,47
arcu,35
cras,6
in,34
elementum,79
tempor,67
vulputate,61
eu,72
interdum,59
semper,98
phasellus,77
in,14
lectus,25
lectus,57
vulputate,85
suscipit,79
at,29
ac,71
blandit,12
congue,28
blandit,14
curabitur,43
libero,77
volutpat,56
diam,68
lorem,39
velit,4
dui,72
justo,57
justo,41
interdum,52
convallis,96
ipsum,29
ultrices,90
vel,68
sociis,30
non,44
platea,57
purus,51
tristique,50
justo,76
fermentum,60
ut,36
nisl,96
in,83
at,63
rhoncus,14
ac,54
magna,61
ante,99
ligula,87
hendrerit,54
lorem,94
sit,73
etiam,24
felis,62
curabitur,41
magnis,90
turpis,78
lobortis,47
commodo,92
ultrices,81
ipsum,60
morbi,59
ultrices,97
sed,38
ipsum,62
aenean,39
vestibulum,58
lobortis,17
blandit,86
massa,59
nisi,12
in,29
duis,77
amet,3
parturient,58
vestibulum,36
lobortis,21
justo,92
eget,50
curae,61
dapibus,82
proin,51
erat,95
in,54
dui,57
elementum,38
mattis,82
urna,17
id,23
nunc,41
in,65
a,90
consequat,76
dapibus,8
platea,85
pellentesque,5
morbi,98
in,87
platea,28
lobortis,7
sagittis,67
congue,42
magnis,98
praesent,96
vulputate,1
rutrum,71
ridiculus,9
duis,18
tristique,89
nulla,54
diam,28
aliquet,66
nascetur,15
luctus,4
in,80
posuere,93
morbi,46
tempor,56
porttitor,64
in,41
odio,23
lectus,6
vestibulum,53
felis,80
erat,73
sapien,58
elementum,17
eget,85
blandit,25
in,30
vel,34
pede,85
quis,55
velit,99
sapien,67
auctor,94
diam,3
nam,17
magna,49
in,53
ultrices,52
mauris,94
est,66
nec,48
lobortis,32
ultrices,31
maecenas,1
habitasse,82
accumsan,34
quam,8
hendrerit,80
ante,71
pellentesque,74
potenti,99
convallis,33
nisi,49
nec,7
tempus,26
dui,70
adipiscing,32
facilisi,48
blandit,61
morbi,26
scelerisque,88
a,99
morbi,27
vulputate,40
aenean,62
nam,41
vestibulum,5
in,75
rhoncus,86
duis,51
sapien,50
dui,14
posuere,46
dolor,77
duis,14
nisl,53
porta,66
scelerisque,55
odio,24
venenatis,62
mauris,52
ipsum,2
magna,100
elit,50
in,68
ipsum,85
commodo,63
risus,93
est,87
semper,43
sapien,28
molestie,46
vestibulum,37
condimentum,3
quam,30
consequat,3
nunc,20
lobortis,26
congue,89
convallis,95
neque,7
est,92
integer,46
nonummy,97
magna,18
amet,21
bibendum,81
auctor,75
congue,34
dui,2
luctus,70
erat,87
in,66
a,64
pellentesque,98
justo,45
nam,74
ultrices,2
viverra,47
curabitur,100
lacus,54
venenatis,44
elit,94
ante,14
volutpat,31
vel,69
in,100
purus,70
diam,50
a,29
lacus,76
interdum,96
justo,89
id,78
suspendisse,26
vulputate,100
semper,37
erat,5
porttitor,6
leo,7
eleifend,98
neque,67
nulla,53
a,86
tincidunt,28
posuere,32
aliquam,8
odio,98
lectus,81
donec,75
fermentum,67
vel,25
eget,82
platea,23
viverra,59
porttitor,88
diam,92
platea,60
quam,91
ut,93
sagittis,57
sit,54
fermentum,15
amet,74
nisi,4
posuere,32
adipiscing,96
pede,95
eget,31
nisl,61
viverra,59
aliquam,17
duis,31
euismod,40
cras,73
orci,30
vitae,4
platea,39
dui,35
maecenas,5
est,67
in,32
dolor,67
gravida,31
velit,95
sapien,63
blandit,47
accumsan,95
morbi,69
convallis,36
diam,19
sollicitudin,28
tortor,10
ac,65
at,72
arcu,18
rutrum,19
risus,25
sed,75
ante,78
convallis,100
eros,79
vestibulum,38
vulputate,85
in,15
nulla,93
blandit,5
odio,31
pede,68
ut,11
morbi,38
vestibulum,71
orci,8
sit,51
ut,62
arcu,79
ligula,28
blandit,34
odio,8
potenti,98
nulla,56
mauris,73
nulla,42
sit,80
vivamus,93
mi,22
sit,82
in,23
sed,7
volutpat,55
et,27
turpis,18
penatibus,92
convallis,76
eget,61
duis,9
sed,26
pellentesque,20
imperdiet,20
felis,95
ut,52
consectetuer,34
nulla,87
blandit,62
arcu,38
vulputate,3
vestibulum,85
morbi,91
sem,2
elementum,6
turpis,62
ultrices,56
sapien,47
non,10
pulvinar,48
consequat,78
id,20
curae,58
lobortis,85
consequat,15
vulputate,47
maecenas,90
nunc,98
vel,69
cum,50
in,89
sapien,27
vestibulum,44
pellentesque,92
faucibus,22
sit,5
scelerisque,99
fusce,29
ut,17
eleifend,26
felis,76
odio,61
